Squad,# Pl,Age,Poss,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,season,country
Norwich City,30,26.0,49.3,25,18,43,23,2,2,68,3,37.0,35.4,27.4,62.8,673,1169,2019,EN
Sheffield Utd,26,26.9,43.1,36,25,61,35,1,1,63,2,43.0,42.2,34.0,76.3,493,1352,2019,EN
Southampton,25,25.9,48.9,51,32,83,49,2,5,55,4,56.1,52.1,36.4,88.5,628,1335,2019,EN
Tottenham,29,26.7,52.0,56,39,95,53,3,4,84,3,47.9,44.7,32.6,77.3,768,1410,2019,EN
Watford,26,28.9,42.9,35,21,56,28,7,8,80,3,48.9,42.6,31.4,74.0,578,1168,2019,EN
West Ham,29,27.4,44.1,49,36,85,45,4,4,64,1,48.6,45.4,36.7,82.2,666,1377,2019,EN
Wolves,21,26.6,48.3,49,34,83,45,4,4,61,2,54.1,51.0,37.5,88.5,858,1338,2019,EN
Alavés,32,27.6,41.5,34,20,54,28,6,6,111,7,39.3,34.7,26.9,61.6,403,944,2019,SP
Athletic Club,26,26.7,48.7,40,23,63,32,8,10,90,2,41.5,33.8,26.2,60.0,604,1291,2019,SP
Atlético Madrid,30,26.1,48.6,50,35,85,44,6,8,93,3,56.8,50.6,39.4,90.0,598,1333,2019,SP
Barcelona,28,27.8,66.4,84,62,146,78,6,6,92,6,66.3,61.7,49.5,111.2,923,2042,2019,SP
Betis,27,27.5,56.7,48,35,83,42,6,8,108,9,51.0,45.2,36.9,82.0,834,1475,2019,SP
Celta Vigo,30,25.8,51.7,37,26,63,31,6,9,104,6,39.2,32.4,26.2,58.7,670,1364,2019,SP
Eibar,26,29.3,46.3,38,24,62,31,7,10,92,3,42.0,34.2,26.0,60.2,424,1265,2019,SP
Espanyol,31,27.7,47.4,25,17,42,21,4,4,107,9,38.6,35.6,27.3,62.9,561,1240,2019,SP
Getafe,30,27.5,45.0,42,31,73,36,6,7,135,5,41.6,36.1,27.9,64.0,416,1196,2019,SP
Granada,27,26.8,43.8,50,34,84,45,5,5,109,1,44.9,40.9,30.5,71.4,511,1009,2019,SP
Leganés,29,26.9,43.9,30,19,49,27,3,5,127,4,39.9,35.9,27.7,63.7,498,1165,2019,SP
Levante,29,27.7,48.3,45,28,73,40,5,5,79,5,48.1,44.2,36.3,80.5,711,1358,2019,SP
Mallorca,32,26.8,45.0,39,21,60,31,8,10,93,5,41.1,33.3,25.4,58.7,740,1210,2019,SP
Osasuna,31,27.7,47.4,46,26,72,38,8,8,110,6,49.4,43.2,34.4,77.6,562,1359,2019,SP
Real Madrid,26,27.6,58.8,69,52,121,58,11,11,82,4,67.9,59.2,49.9,109.1,951,1972,2019,SP
Real Sociedad,27,24.8,56.2,54,38,92,50,4,5,79,2,48.9,45.1,35.4,80.5,737,1588,2019,SP
Sevilla,26,27.7,57.9,53,35,88,46,7,7,97,1,53.2,47.9,38.4,86.3,803,1823,2019,SP
Valencia,28,27.0,49.0,45,34,79,40,5,8,80,8,43.3,37.2,31.7,68.9,671,1378,2019,SP
Valladolid,30,27.1,44.7,31,19,50,28,3,6,84,0,36.6,32.1,24.0,56.1,510,1106,2019,SP
Villarreal,25,27.6,52.9,62,40,102,52,10,11,78,1,63.6,55.2,43.1,98.3,694,1483,2019,SP
Augsburg,28,26.2,38.6,45,29,74,42,3,5,68,2,43.1,39.1,29.7,68.8,411,815,2019,GE
Bayern Munich,29,26.7,65.1,97,75,172,91,6,6,54,3,89.5,84.8,73.1,157.9,930,2300,2019,GE
Dortmund,27,25.8,60.4,84,74,158,82,2,2,49,1,61.0,59.5,50.6,110.1,792,1736,2019,GE
Düsseldorf,28,27.1,45.6,36,26,62,32,4,4,78,0,35.9,32.7,24.2,56.9,487,1268,2019,GE
Eint Frankfurt,27,27.0,50.9,57,45,102,55,2,2,71,4,59.5,58.0,44.8,102.8,677,1389,2019,GE
Freiburg,26,26.4,48.1,46,27,73,41,5,6,43,2,46.7,42.0,33.0,75.0,537,1128,2019,GE
Gladbach,25,26.3,52.4,64,53,117,60,4,6,77,3,72.0,67.2,53.6,120.8,650,1305,2019,GE
Hertha BSC,32,26.2,44.7,45,35,80,42,3,3,78,4,43.1,40.7,32.7,73.4,546,1073,2019,GE
Hoffenheim,31,26.0,51.6,52,36,88,49,3,4,66,2,56.1,53.0,40.2,93.2,598,1261,2019,GE
Köln,29,25.6,46.7,50,38,88,48,2,4,79,4,48.9,46.3,35.6,81.9,494,1158,2019,GE
Leverkusen,24,26.1,63.2,57,48,105,55,2,2,61,6,59.1,57.5,48.6,106.1,761,1471,2019,GE
Mainz 05,25,24.6,43.2,42,34,76,39,3,3,75,3,48.2,45.8,37.4,83.2,524,1146,2019,GE
Paderborn 07,27,25.7,45.9,37,26,63,35,2,4,84,3,39.2,36.1,26.8,62.9,682,1009,2019,GE
RB Leipzig,29,24.2,55.3,81,58,139,76,5,5,53,3,71.3,67.6,54.4,122.0,759,1700,2019,GE
Schalke 04,29,24.6,49.0,35,25,60,33,2,2,64,2,37.8,36.2,25.5,61.7,603,1201,2019,GE
Union Berlin,26,27.7,41.9,38,27,65,34,4,5,71,5,41.4,37.6,28.0,65.7,387,944,2019,GE
Werder Bremen,30,26.7,48.8,40,30,70,37,3,6,80,4,39.4,34.7,25.8,60.5,509,1309,2019,GE
Wolfsburg,26,26.0,48.4,48,33,81,44,4,4,71,4,52.8,49.7,37.9,87.6,620,1247,2019,GE
Atalanta,30,27.2,57.2,96,68,164,89,7,10,80,2,83.5,75.6,58.9,134.5,978,1867,2019,IT
Bologna,31,27.2,52.6,48,31,79,43,5,6,109,7,56.9,52.2,41.3,93.5,799,1672,2019,IT
Brescia,32,25.6,40.6,34,22,56,30,4,4,95,6,43.4,40.2,28.8,69.0,537,1241,2019,IT
Cagliari,33,27.4,45.7,50,34,84,46,4,6,108,6,41.8,37.1,32.0,69.0,662,1288,2019,IT
Fiorentina,33,25.1,47.4,48,30,78,39,9,11,105,5,53.6,45.4,34.5,79.8,857,1446,2019,IT
Genoa,34,26.8,49.5,46,28,74,35,11,16,107,10,48.7,36.2,27.6,63.7,583,1280,2019,IT
Hellas Verona,30,26.1,49.8,45,27,72,37,8,9,87,7,50.5,43.6,34.5,78.1,728,1575,2019,IT
Inter,29,27.7,54.2,80,57,137,70,10,11,104,6,69.4,60.8,44.0,104.7,797,1820,2019,IT
Juventus,30,28.6,58.1,73,47,120,60,13,14,87,3,71.1,60.1,45.5,105.6,879,1746,2019,IT
Lazio,27,27.9,50.4,77,45,122,62,15,18,99,2,68.0,53.9,42.5,96.4,935,1668,2019,IT
Lecce,30,28.7,44.8,52,30,82,41,11,15,98,5,54.7,43.5,32.6,76.1,752,1356,2019,IT
Milan,32,24.6,54.9,60,38,98,52,8,9,97,6,62.8,56.0,46.0,101.9,816,1717,2019,IT
Napoli,25,26.9,59.2,60,45,105,55,5,5,73,2,61.7,57.8,46.8,104.6,979,2024,2019,IT
Parma,25,28.8,43.8,53,38,91,49,4,6,81,1,48.4,43.7,33.9,77.6,673,1227,2019,IT
Roma,31,26.9,52.7,73,47,120,61,12,14,111,7,73.2,62.8,48.6,111.3,944,1651,2019,IT
Sampdoria,31,26.0,42.7,48,25,73,39,9,12,111,7,50.2,40.8,30.8,71.6,613,1369,2019,IT
Sassuolo,31,26.4,57.5,69,49,118,64,5,6,99,3,52.9,48.2,39.2,87.4,902,1590,2019,IT
SPAL,34,27.5,46.9,27,17,44,22,5,7,98,4,40.7,35.2,26.5,61.7,696,1236,2019,IT
Torino,27,27.3,47.4,44,29,73,37,7,8,96,7,44.8,39.4,30.3,69.6,843,1220,2019,IT
Udinese,25,26.5,44.7,37,26,63,37,0,0,77,3,41.6,41.6,33.5,75.2,709,1274,2019,IT
Ath Paranaense,41,25.4,53.8,38,27,65,38,0,1,80,3,45.6,44.8,32.6,77.4,578,1622,2020,BR
Atl Goianiense,35,24.9,46.8,39,31,70,35,4,4,77,5,44.3,41.1,34.2,75.3,668,1424,2020,BR
Atlético Mineiro,34,25.8,60.6,60,42,102,52,8,13,64,3,68.5,58.2,45.5,103.7,695,2219,2020,BR
Bahia,39,27.3,46.8,48,35,83,43,5,8,84,6,55.9,49.6,38.7,88.3,691,1506,2020,BR
Botafogo (RJ),45,24.9,47.8,32,17,49,26,6,7,72,6,51.3,45.8,34.1,79.9,604,1427,2020,BR
Ceará,34,27.9,43.6,52,37,89,46,6,7,93,7,51.8,46.4,36.4,82.8,574,1344,2020,BR
Corinthians,36,27.6,49.9,44,34,78,40,4,5,85,8,44.1,40.2,31.6,71.8,606,1639,2020,BR
Coritiba,47,26.7,46.6,31,21,52,26,5,6,87,8,37.9,33.3,27.2,60.5,566,1286,2020,BR
Flamengo,38,26.6,60.3,67,50,117,60,7,10,88,3,78.4,71.5,57.8,129.3,919,2171,2020,BR
Fluminense,37,26.8,48.7,52,34,86,46,6,7,85,4,41.3,35.9,27.9,63.8,545,1349,2020,BR
Fortaleza,31,28.9,49.8,33,24,57,28,5,8,83,8,43.2,37.4,30.8,68.2,598,1396,2020,BR
Goiás,49,26.0,42.4,39,21,60,35,4,5,114,4,39.5,35.6,25.1,60.7,491,1099,2020,BR
Grêmio,37,27.8,52.4,51,35,86,46,5,7,81,8,54.3,48.8,39.6,88.4,743,1598,2020,BR
Internacional,39,27.1,49.4,59,40,99,50,9,10,91,8,55.3,47.4,35.4,82.8,663,1391,2020,BR
Palmeiras,36,26.4,52.1,51,33,84,46,5,7,92,5,52.6,47.5,37.1,84.6,609,1606,2020,BR
Red Bull Bragantino,35,25.3,49.4,50,35,85,46,4,8,73,4,53.3,47.1,36.6,83.7,730,1701,2020,BR
Santos,40,24.6,50.7,49,32,81,38,11,13,82,5,50.9,40.9,32.3,73.2,638,1346,2020,BR
São Paulo,28,26.5,57.2,59,36,95,53,6,7,90,2,54.3,48.9,36.2,85.1,701,1692,2020,BR
Sport Recife,38,27.0,45.0,31,18,49,23,8,8,88,4,34.7,28.6,21.2,49.8,569,1347,2020,BR
Vasco da Gama,34,26.2,46.6,37,20,57,34,3,4,87,6,41.1,38.0,26.8,64.8,659,1294,2020,BR
Arsenal,29,25.9,53.5,53,38,91,47,6,6,49,5,51.7,47.0,35.1,82.1,758,1760,2020,EN
Aston Villa,24,25.2,48.5,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,2020,EN
Brighton,27,25.8,51.1,39,24,63,33,6,9,49,6,50.9,43.8,33.2,77.0,685,1516,2020,EN
Burnley,25,28.3,42.1,32,20,52,29,3,3,48,0,39.3,36.9,27.7,64.6,389,1012,2020,EN
Chelsea,27,26.0,60.9,56,38,94,48,8,10,51,3,62.4,54.5,41.5,96.0,895,1798,2020,EN
Crystal Palace,24,29.1,40.6,39,29,68,36,3,4,56,2,34.1,31.0,23.6,54.6,526,1132,2020,EN
Everton,29,26.3,46.4,45,32,77,41,4,5,59,2,45.7,41.9,30.7,72.6,604,1184,2020,EN
Fulham,28,25.2,49.7,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,2020,EN
Leeds United,23,26.1,57.3,60,45,105,56,4,4,61,1,55.6,52.5,41.9,94.3,811,1633,2020,EN
Leicester City,27,26.5,54.3,64,45,109,54,10,12,61,0,55.8,46.3,33.7,80.1,666,1464,2020,EN
Liverpool,28,26.8,62.1,65,43,108,59,6,6,40,0,67.5,62.9,48.3,111.2,886,2057,2020,EN
Manchester City,24,26.1,63.5,82,55,137,77,5,9,46,2,68.2,61.2,45.4,106.6,1096,2051,2020,EN
Manchester Utd,29,25.6,55.7,70,51,121,60,10,11,64,1,60.1,51.4,41.6,93.1,877,1832,2020,EN
Newcastle Utd,27,27.1,38.8,44,26,70,38,6,7,65,3,43.4,37.8,29.0,66.8,467,903,2020,EN
Sheffield Utd,27,26.7,41.7,19,13,32,16,3,4,73,3,32.6,29.5,24.9,54.4,491,1196,2020,EN
Southampton,29,26.6,52.0,47,33,80,42,5,6,52,3,41.2,36.6,25.8,62.5,626,1195,2020,EN
Tottenham,24,27.2,51.6,66,50,116,61,5,5,57,2,53.1,49.2,35.3,84.4,633,1330,2020,EN
West Brom,30,26.4,37.9,33,20,53,29,4,4,51,4,35.8,32.7,24.4,57.1,441,1027,2020,EN
West Ham,24,27.8,43.2,60,46,106,58,2,4,50,3,55.4,52.1,39.6,91.7,658,1282,2020,EN
Wolves,27,26.3,49.3,34,21,55,30,4,4,55,1,36.5,33.4,24.1,57.6,800,1283,2020,EN
Alavés,30,28.7,42.8,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,938,2020,SP
Athletic Club,27,26.6,49.9,43,31,74,39,4,5,82,3,43.1,39.2,31.3,70.5,685,1496,2020,SP
Atlético Madrid,25,27.3,52.3,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,2020,SP
Barcelona,25,26.4,65.5,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2020,SP
Betis,25,27.9,53.6,50,35,85,42,8,11,93,8,49.1,40.5,33.4,73.9,694,1441,2020,SP
Cádiz,34,28.8,34.8,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,2020,SP
Celta Vigo,30,26.6,53.3,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,2020,SP
Eibar,30,28.2,49.3,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,2020,SP
Elche,30,28.1,47.5,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,500,927,2020,SP
Getafe,31,26.7,43.3,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,2020,SP
Granada,34,27.4,41.4,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,2020,SP
Huesca,27,28.0,48.3,32,23,55,29,3,4,69,2,38.9,36.1,26.7,62.8,618,1185,2020,SP
Levante,29,28.0,52.2,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,619,1537,2020,SP
Osasuna,28,27.9,43.2,36,25,61,31,5,6,80,5,38.7,34.7,24.9,59.7,345,1220,2020,SP
Real Madrid,30,27.9,59.3,64,53,117,61,3,3,59,2,61.5,59.2,47.4,106.5,963,1920,2020,SP
Real Sociedad,30,25.0,54.9,58,39,97,49,9,12,81,1,60.7,51.5,39.6,91.1,626,1554,2020,SP
Sevilla,26,28.1,60.9,52,36,88,46,6,7,79,2,54.4,48.9,41.0,90.0,691,1627,2020,SP
Valencia,30,25.2,46.9,48,35,83,40,8,10,82,5,42.6,34.8,27.3,62.1,575,1180,2020,SP
Valladolid,32,28.1,45.2,34,21,55,27,7,8,93,4,40.1,33.8,24.2,58.0,564,1101,2020,SP
Villarreal,29,28.0,55.2,57,33,90,45,12,13,67,5,56.4,46.4,40.5,86.9,737,1628,2020,SP
Arminia,26,26.0,42.3,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,2020,GE
Augsburg,25,27.0,41.4,35,23,58,33,2,5,71,4,37.3,33.4,25.9,59.3,431,987,2020,GE
Bayern Munich,29,27.3,60.7,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084,2020,GE
Dortmund,26,25.6,59.6,74,57,131,71,3,7,44,1,66.2,60.4,51.2,111.5,763,1745,2020,GE
Eint Frankfurt,25,27.2,53.7,63,52,115,55,8,8,82,1,58.5,52.2,44.0,96.2,664,1548,2020,GE
Freiburg,24,26.2,47.3,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170,2020,GE
Gladbach,23,26.9,51.7,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,613,1371,2020,GE
Hertha BSC,32,25.4,49.6,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176,2020,GE
Hoffenheim,30,25.7,51.2,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517,2020,GE
Köln,28,24.9,46.3,33,23,56,29,4,6,63,1,40.5,35.9,25.5,61.5,429,1131,2020,GE
Leverkusen,30,25.4,59.7,52,41,93,49,3,3,58,0,46.3,44.0,34.7,78.7,724,1522,2020,GE
Mainz 05,31,25.8,40.7,39,23,62,34,5,5,63,1,49.9,46.0,34.9,80.9,442,1046,2020,GE
RB Leipzig,25,25.0,59.7,59,44,103,51,8,10,57,0,64.4,56.7,43.7,100.4,624,1719,2020,GE
Schalke 04,42,25.9,44.7,24,20,44,24,0,3,74,2,28.7,26.3,20.6,46.9,452,943,2020,GE
Stuttgart,29,24.1,51.5,54,42,96,48,6,8,65,2,51.4,45.1,37.1,82.2,701,1467,2020,GE
Union Berlin,27,27.3,44.9,50,39,89,45,5,7,57,2,46.9,41.3,33.4,74.7,464,1059,2020,GE
Werder Bremen,27,26.3,43.9,35,25,60,30,5,5,67,3,32.9,29.0,21.5,50.5,414,1065,2020,GE
Wolfsburg,26,25.6,51.1,57,48,105,55,2,3,58,3,49.0,46.9,37.7,84.5,595,1397,2020,GE
Atalanta,30,27.3,54.6,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,2020,IT
Benevento,29,28.7,42.6,40,26,66,35,5,7,95,5,40.6,35.0,27.6,62.6,512,1096,2020,IT
Bologna,37,27.2,50.8,49,38,87,46,3,4,82,4,54.6,51.1,39.0,90.1,706,1516,2020,IT
Cagliari,32,26.5,44.8,43,30,73,39,4,5,77,3,47.1,43.4,34.0,77.5,589,1228,2020,IT
Crotone,31,27.8,46.3,44,27,71,35,9,9,89,4,40.4,33.4,23.9,57.2,582,1217,2020,IT
Fiorentina,30,26.6,46.3,44,31,75,38,6,6,86,5,44.9,40.2,31.6,71.8,637,1353,2020,IT
Genoa,34,28.3,44.8,46,32,78,42,4,4,87,2,38.8,35.6,26.4,62.0,523,1165,2020,IT
Hellas Verona,32,26.2,49.8,38,30,68,35,3,3,91,1,45.3,43.0,33.5,76.5,599,1490,2020,IT
Inter,25,27.7,52.5,84,62,146,76,8,9,61,2,74.2,67.2,52.5,119.8,766,1707,2020,IT
Juventus,30,27.7,56.9,76,59,135,68,8,10,80,6,74.4,67.0,55.1,122.1,949,1768,2020,IT
Lazio,30,29.4,53.0,59,40,99,53,6,10,107,5,58.2,50.7,39.6,90.2,785,1688,2020,IT
Milan,29,24.4,51.7,72,47,119,57,15,20,83,4,70.7,56.0,43.9,99.8,784,1483,2020,IT
Napoli,25,27.1,55.1,83,56,139,76,7,8,76,3,67.7,61.4,46.9,108.3,884,1703,2020,IT
Parma,42,28.0,47.8,39,26,65,34,5,5,91,1,42.5,38.6,30.5,69.0,607,1319,2020,IT
Roma,31,26.7,52.2,67,51,118,60,7,8,91,3,65.3,59.0,48.2,107.2,863,1583,2020,IT
Sampdoria,27,27.9,45.2,52,37,89,47,5,6,83,3,45.4,41.1,31.9,73.0,588,1370,2020,IT
Sassuolo,28,26.5,60.3,61,36,97,48,13,14,79,4,58.4,47.7,34.0,81.8,770,1746,2020,IT
Spezia,35,25.2,51.9,52,37,89,48,4,5,100,5,46.6,42.7,31.1,73.8,627,1388,2020,IT
Torino,29,26.9,47.3,49,28,77,44,5,6,78,4,50.0,45.3,32.2,77.5,617,1138,2020,IT
Udinese,33,27.2,46.3,40,30,70,36,4,4,65,2,45.7,42.9,30.0,72.9,672,1405,2020,IT
América (MG),36,29.2,47.6,41,27,68,35,6,9,64,1,56.1,49.1,38.6,87.7,736,1507,2021,BR
Ath Paranaense,40,25.2,49.0,41,31,72,39,2,2,83,3,41.8,40.2,31.0,71.2,579,1437,2021,BR
Atl Goianiense,31,26.5,49.4,32,20,52,28,4,4,89,2,37.0,33.9,26.5,60.4,559,1401,2021,BR
Atlético Mineiro,35,27.8,56.2,67,47,114,57,10,11,79,2,57.8,49.3,39.6,88.9,616,1756,2021,BR
Bahia,38,27.2,47.1,42,29,71,38,4,5,94,5,45.6,41.7,32.8,74.5,630,1511,2021,BR
Ceará,38,27.2,46.6,38,23,61,35,3,4,89,4,47.9,44.9,33.0,77.9,548,1386,2021,BR
Chapecoense,42,25.5,42.6,26,17,43,22,4,5,77,5,39.5,35.8,27.1,62.9,504,1106,2021,BR
Corinthians,33,28.3,54.6,39,29,68,34,5,6,62,3,40.2,35.5,28.6,64.1,656,1554,2021,BR
Cuiabá,30,28.5,46.3,32,20,52,28,4,4,87,6,36.6,33.4,27.1,60.5,567,1351,2021,BR
Flamengo,41,27.4,58.5,67,55,122,64,3,4,84,3,66.5,63.4,50.3,113.7,894,2055,2021,BR
Fluminense,36,26.5,49.7,37,27,64,33,4,5,85,3,44.3,40.4,31.2,71.6,565,1415,2021,BR
Fortaleza,28,27.8,49.9,43,26,69,39,4,7,90,4,50.6,44.9,32.6,77.5,628,1474,2021,BR
Grêmio,39,26.9,51.9,43,33,76,40,3,7,102,7,50.5,45.1,37.2,82.3,813,1621,2021,BR
Internacional,36,26.2,50.8,43,33,76,37,6,6,105,11,50.6,45.9,39.0,84.9,672,1354,2021,BR
Juventude,35,27.2,44.6,34,18,52,29,5,6,89,3,37.5,33.1,23.4,56.6,494,1181,2021,BR
Palmeiras,46,26.8,50.1,54,41,95,50,4,5,84,7,56.3,52.8,41.4,94.2,694,1499,2021,BR
Red Bull Bragantino,39,23.8,49.6,53,44,97,51,2,4,89,2,47.2,44.1,34.6,78.7,661,1467,2021,BR
Santos,38,25.6,53.4,34,22,56,28,6,8,90,1,44.7,38.5,29.3,67.8,792,1546,2021,BR
São Paulo,31,26.5,56.1,30,20,50,26,4,4,95,4,45.5,42.4,31.4,73.8,677,1633,2021,BR
Sport Recife,38,26.1,46.0,24,15,39,21,3,4,89,4,39.8,36.7,28.4,65.1,585,1258,2021,BR
Arsenal,27,24.4,52.8,60,41,101,55,5,8,67,4,60.5,55.1,40.2,95.4,734,1655,2021,EN
Aston Villa,31,26.1,46.5,50,42,92,47,3,3,81,2,44.0,42.0,34.8,76.8,653,1300,2021,EN
Brentford,29,25.4,44.8,46,33,79,40,6,6,65,3,45.8,41.1,33.0,74.1,450,1189,2021,EN
Brighton,26,26.2,54.4,40,30,70,36,4,7,72,2,46.2,40.7,32.3,72.9,676,1547,2021,EN
Burnley,23,28.5,40.2,32,26,58,31,1,2,68,2,39.7,38.1,31.2,69.3,388,972,2021,EN
Chelsea,26,27.4,61.8,75,52,127,67,8,9,63,1,63.4,56.6,44.9,101.5,894,1967,2021,EN
Crystal Palace,24,27.1,51.1,50,31,81,44,6,8,69,1,46.4,40.1,31.0,71.1,592,1229,2021,EN
Everton,33,26.7,40.0,42,29,71,36,6,7,82,6,41.2,35.8,28.5,64.3,512,1100,2021,EN
Leeds United,29,26.1,52.3,42,26,68,37,5,5,101,3,44.4,40.4,31.3,71.8,671,1483,2021,EN
Leicester City,28,26.5,52.0,62,46,108,60,2,2,55,1,47.8,46.2,34.2,80.4,622,1356,2021,EN
Liverpool,27,27.7,62.7,94,71,165,87,7,8,50,1,88.7,82.7,63.5,146.2,885,2243,2021,EN
Manchester City,26,27.0,67.9,96,63,159,89,7,9,42,1,88.7,81.4,65.5,146.9,1145,2421,2021,EN
Manchester Utd,29,27.2,52.7,56,46,102,53,3,5,77,2,55.8,51.9,42.5,94.3,784,1568,2021,EN
Newcastle Utd,29,27.5,40.4,41,23,64,38,3,3,81,2,38.1,35.9,25.8,61.7,544,923,2021,EN
Norwich City,28,26.2,42.9,21,16,37,18,3,3,57,1,32.3,30.0,24.3,54.3,566,1031,2021,EN
Southampton,25,25.7,47.7,41,26,67,37,4,4,65,2,44.8,41.6,32.5,74.1,728,1326,2021,EN
Tottenham,25,26.5,51.8,63,50,113,58,5,5,69,1,61.2,57.3,47.0,104.4,791,1459,2021,EN
